JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
     90        4.67        9       1       57.5          0.0       0.0       0.0          0.68         58
     91        4.69        6       6       27.2          0.0       0.0       0.0          0.46         56
     92        4.69        6       6       25.8          0.0       0.0       0.0          2.14         11
     93        4.70        6       1       47.8          0.0       0.0       0.0          1.40         50
     94        4.82        5       1       59.3         22.0      13.0      -8.0          1.03         31
     95        4.84       12       1       54.1          0.0       0.0       0.0          1.04         18
     96        5.01        3       1       63.3          0.0       0.0       0.0          0.35         19
     97        5.03       10       1       40.8          0.0       0.0       0.0          0.48         51
     98        5.04        6       3       32.1          0.0       0.0       0.0          0.84         40
     99        5.12        5       1       74.9         16.0      14.0       5.0          0.33         49
    100        5.19        1       3        0.0          0.0       0.0       0.0          1.56         22

JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    101        5.20        3       1       51.5          0.0       0.0       0.0          0.04         54
    102        5.21        8       1       49.6          0.0       0.0       0.0          0.00         53
    103        5.22        7       2       32.8          0.0       0.0       0.0          0.00         42
    104        5.27        3       1       71.5          0.0       0.0       0.0          0.55         26
    105        5.30        1       5        0.0          0.0       0.0       0.0          0.37          2
    106        5.37        1       7        0.0          0.0       0.0       0.0          2.39         53
    107        5.79       12       2       21.5          0.0       0.0       0.0          0.00         33
    108        5.84        2       1       47.9          0.0       0.0       0.0          0.19         24
    109        5.85        4       2       28.9          0.0       0.0       0.0          0.36         12
    110        5.93        7       2       30.5          0.0       0.0       0.0          0.00         27
    111        5.94        1       2        0.0          0.0       0.0       0.0          2.70         40
    112        5.98        3       1       62.3          0.0       0.0       0.0          0.57         58
    113        6.03       10       1       38.5          0.0       0.0       0.0          0.14         24
    114        6.11        3       1       65.5          0.0       0.0       0.0          0.40         35
    115        6.17        6       1       39.0          0.0       0.0       0.0          2.01         16
    116        6.23        1       2        0.0          0.0       0.0       0.0          1.11         24
    117        6.47        8       2       47.3          0.0       0.0       0.0          0.00         35
    118        6.52        2       1       39.2          0.0       0.0       0.0          0.13         45
    119        6.56        6       7       12.0          0.0       0.0       0.0          0.73         17
    120        6.64        3       1       64.2          0.0       0.0       0.0          0.39         26
    121        6.65        9       1       39.4          0.0       0.0       0.0          0.47          2
